[2026-04-27T07:09:22] STARTUP | condition=system starting
[2026-04-27T07:10:53] SHUTDOWN | condition=manual
[2026-04-27T07:19:28] STARTUP | condition=system starting
[2026-04-27T07:27:33] ANOMALY_DETECTED | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.50 | rate=6.50 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.52 | rate=6.52 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.53 | rate=6.53 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.55 | rate=6.55 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.57 | rate=6.57 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.58 | rate=6.58 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.60 | rate=6.60 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.62 | rate=6.62 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.63 | rate=6.63 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.65 | rate=6.65 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.67 | rate=6.67 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.68 | rate=6.68 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.70 | rate=6.70 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.72 | rate=6.72 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.73 | rate=6.73 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.75 | rate=6.75 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.77 | rate=6.77 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.78 | rate=6.78 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.80 | rate=6.80 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.82 | rate=6.82 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.83 | rate=6.83 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.85 | rate=6.85 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.87 | rate=6.87 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.88 | rate=6.88 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.90 | rate=6.90 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.92 | rate=6.92 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.93 | rate=6.93 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.95 | rate=6.95 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.97 | rate=6.97 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.98 | rate=6.98 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.00 | rate=7.00 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.02 | rate=7.02 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.03 | rate=7.03 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.05 | rate=7.05 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.07 | rate=7.07 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.08 | rate=7.08 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.10 | rate=7.10 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.12 | rate=7.12 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.13 | rate=7.13 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.15 | rate=7.15 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.17 | rate=7.17 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.18 | rate=7.18 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.20 | rate=7.20 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.22 | rate=7.22 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.23 | rate=7.23 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.25 | rate=7.25 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.27 | rate=7.27 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.28 | rate=7.28 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.30 | rate=7.30 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.32 | rate=7.32 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.33 | rate=7.33 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=7.35 | rate=7.35 | baseline=0.75
